tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2006445575664009385',You don’t say.,en,Tweet,251,27162,3062,882,792458,2025-12-31 14:21:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2006440887086452812',"And with that, we close year 2025. Onward.",en,Tweet,154,18045,2603,1004,411148,2025-12-31 14:02:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2006080835116753039',"This year, California stood up against Donald Trump's assault on our democracy.

We showed the nation what it means to stand up for our values.

The fight continues. And California will be ready. https://t.co/PyOJxuz60I",en,Tweet,185,15557,2645,6967,309813,2025-12-30 14:11:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/2006080694825672709/vid/avc1/1920x1080/tAvhMb6zJT4xfumi.mp4?tag=21
'2004251429771612542',"RT @undefined: Our family wishes you all a very Merry Christmas and Happy Holidays! 

Sending love and peace to all. https://t.co/FareV6iwyp",en,Retweet,1084,40672,2372,3421,3062334,2025-12-25 13:02:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G9CIDPyW8AAYDY-.jpg
'2004235695448023180',"RT @undefined: Merry Christmas, California!🎄

'Tis the season to celebrate the timeless spirit of generosity, kindness, and hope with the ones we love most.

From our family to yours, we wish all Californians celebrating a peaceful day of joy and togetherness. https://t.co/aNRVJ9bnaF",en,Retweet,235,20741,2554,4683,707857,2025-12-25 12:00:01,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/2000621512814956548/vid/avc1/1920x1080/AR6972TYIZa1k2ax.mp4?tag=21
'2003894328851419214',2025: [REDACTED] https://t.co/5L1rOMcWmF,en,Tweet,227,9359,2126,811,193517,2025-12-24 13:23:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/2003894269170597888/vid/avc1/768x960/o1COh_ql1slEpdQf.mp4?tag=21
'2003525077212758519',"When faced with death, Ben has chosen to provide us with a reminder of light and grace.

That takes courage. He has shared with the world a kind of hope that can only come from deep-rooted faith. 

Sending love to your family -- keep fighting the good fight.",en,Tweet,254,16268,1043,289,1003431,2025-12-23 12:56:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2003213656402850244',Trump's tariffs are the gift that keeps on taking. Holiday gifts are up 26% this year while families struggle to afford the basics. The Grinch in Chief! https://t.co/K9upOgW8Tg,en,Tweet,285,22663,4606,5793,891451,2025-12-22 16:18:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G8zYNApagAIb5fL.jpg
'2001771862007976017',Can’t wait for the next President to overturn this on Day 1!,en,Tweet,270,39081,2940,2971,1216669,2025-12-18 16:49:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2001753468793496038',"RT @undefined: Newsom: ""If Trump cannot provide the bare minimum to Californians, perhaps it is time California withholds resources from the feds??""",en,Retweet,180,5788,443,204,272400,2025-12-18 15:36:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2001747003802579407',May the odds be ever in your favor. https://t.co/UyAHbRBWmW,en,Tweet,228,8472,1011,319,288760,2025-12-18 15:10:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/2001746814018736128/vid/avc1/1320x2226/2G-6DoibMCaw9n68.mp4?tag=21
'2001740273509187936',"If Trump cannot provide the bare minimum to Californians, perhaps it is time California withholds resources from the feds??",en,Tweet,407,30366,4420,6142,1721649,2025-12-18 14:44:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2001392326250500560',"Inflation is up. 

Unemployment is up.

Grocery prices are up.

Electricity costs are up.

And Donald Trump is spending his time doing this bullshit.",en,Tweet,1232,61586,11032,12241,2951567,2025-12-17 15:41:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2001340101318840567',"Good news for America.

Bad news for Mike Johnson.",en,Tweet,96,16256,1495,431,527890,2025-12-17 12:13:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2001323056485310939',"Great work, @realDonaldTrump.",en,Tweet,96,10687,1582,1301,608502,2025-12-17 11:06:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000999709385875809',"Great work, @realDonaldTrump.",en,Tweet,240,15973,3576,1375,536776,2025-12-16 13:41:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000968352450449408',“Affordability is a hoax.”,en,Tweet,65,10802,1568,623,270332,2025-12-16 11:36:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000719326106833374',"While the Trump administration abandons science and purges experts who won't bend the knee, we're bringing them to California. https://t.co/5ohxPZusVL",en,Tweet,120,11975,1908,1440,199190,2025-12-15 19:07:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/2000685753362472961/vid/avc1/1280x720/OybZHxHeVPFUa1L1.mp4?tag=14
'2000686732786983090',"RT @undefined: Newsom: I was out there feeling a little alone doing same-sex marriage in 2004. It was Rob Reiner who reached out—it's how I got to know him—saying he had my back at a time when a lot of members of my own party, the Democratic Party, didn't https://t.co/XZ0FFqhiZK",en,Retweet,594,21636,1883,150,813755,2025-12-15 16:57:42,"<a href=""https://snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>",,,video,https://video.twimg.com/amplify_video/2000686676017041408/vid/avc1/1280x720/4eH1Q_D-bGk6jj9y.mp4?tag=14
'2000661229220847766',"RT @undefined: FOR THE FIRST TIME SINCE JUNE, THERE ARE NO FEDERALIZED TROOPS DEPLOYED TO THE STREETS OF LOS ANGELES.

Thanks to the work of many, this clear authoritarian overstep by Trump has ended.",en,Retweet,255,36036,4116,758,674385,2025-12-15 15:16:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2000679187133157493',RT @undefined: LIVE NOW: Governor Newsom makes announcement with former CDC officials. https://t.co/cEst8gMlJh,en,Retweet,69,1349,247,241,268337,2025-12-15 16:27:43,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://x.com/i/broadcasts/1BdxYZOwDDEKX,,
'2000636461167829460',"Great work, @realDonaldTrump.",en,Tweet,158,19613,3189,2265,559715,2025-12-15 13:37:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2000607512245240275',This is a sick man.,en,Tweet,2841,215203,18733,9374,4484051,2025-12-15 11:42:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000433680645537978',"RT @undefined: Jen and I are heartbroken by the tragic loss of Rob Reiner and Michele Singer Reiner.

Rob was the big-hearted genius behind so many of the classic stories we love, with projects as wide-ranging as The Princess Bride to A Few Good Men. His boundless empathy made his stories timeless, teaching generations how to see goodness and righteousness in others — and encouraging us to dream bigger.

That empathy extended well beyond his films. Rob was a passionate advocate for children and for civil rights — from taking on Big Tobacco, fighting for marriage equality, to serving as a powerful voice in early education. He made California a better place through his good works.

Rob will be remembered for his remarkable filmography and for his extraordinary contribution to humanity.",en,Retweet,675,61692,6613,1922,1121788,2025-12-15 00:12:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G8L31L9aEAAGQLf.jpg
'2000362670768476212',"RT @undefined: Hanukkah celebrates finding perseverance, strength, and light in the darkest moments.

Now more than ever, it's on all of us to carry that light forward for the good of everyone.

Happy first night of Hanukkah, California! 🕎 https://t.co/ISxpAT8CZj",en,Retweet,74,4846,574,1143,160189,2025-12-14 19:30:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1999537797904879616/vid/avc1/1920x1080/fMBYtUCGhroRlhza.mp4?tag=21
'2000276735036903585',Hahahahahahahahaha ok,tl,Tweet,302,31006,3264,1122,573687,2025-12-14 13:48:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000275631599427946',Donald Trump’s war on Christmas continues!,en,Tweet,121,9630,1654,722,378459,2025-12-14 13:44:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2000250284652843437',"RT @undefined: During an early evening celebration, Jewish families in Australia were horrifically gunned down in a vile act of terror. 

California’s heart is with Australia today as we stand with the Jewish community worldwide against a rising tide of antisemitic violence and hate. 

Antisemitism has no place in our world.",en,Retweet,58,6104,634,623,265533,2025-12-14 12:03:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1999857858029166679',🤐 https://t.co/SyngbelWcP,qme,Tweet,1880,39292,6590,2263,1602603,2025-12-13 10:04:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1999857804350492672/vid/avc1/768x960/cn-wi-5gIOlw_YD_.mp4?tag=21
